"CODIGOINE","SUPERFICIE","ALTITUD","LONGITUD_ETRS89","LATITUD_ETRS89","EDAD_MEDIA","de0.18","de19.67","masde68","de0.12","HOMBRES","MUJERES"
"25010",2112.4317,214,0.61727597,41.48098212,49.66255144,35,137,71,25,121,122
"25011",11464.5343,134,0.52411008,41.56301538,38.74420592,2007,6337,1019,1449,4836,4527
"25012",1640.8123,215,0.69423798,41.64854933,39.39531479,680,2378,357,492,1773,1642
"25013",1150.8626,280,0.57295527,41.82906515,45.40604377,499,1797,583,307,1515,1364
"25014",3208.6586,239,0.62011828,41.5224167,48.98402556,41,190,82,30,162,151
"25015",5440.87,342,0.63836183,41.81439813,53.21103118,37,236,144,29,222,195
"25016",5025.5602,304,0.58391814,41.73631716,44.91986532,513,1893,564,345,1562,1408
"25017",18502.6155,1049,1.31739181,42.54871413,51.06293706,42,163,81,23,152,134
"25019",4886.3187,248,0.43774764,41.73168979,43.72845268,1182,4484,1191,826,3577,3280
"25020",5649.7007,463,0.42383283,41.30538097,56.26959248,14,201,104,6,174,145
"25021",6647.2838,326,0.56808578,41.79769309,46.00547866,527,2243,698,350,1838,1630
"25022",6908.24,292,0.96103348,41.91190245,57.0703125,13,68,47,5,74,54
"25023",1525.2704,263,0.55526727,41.66650616,40.13381066,1415,4146,724,956,3146,3139
"25024",21774.9585,1084,1.11090417,42.63436767,49.29876543,38,286,81,23,229,176
"25025",25524.6916,1270,0.90204834,42.70758009,41.86749017,305,1275,201,210,916,865
"25027",2367.61,335,1.0819755,41.65892599,46.04531722,235,784,305,164,665,659
"25029",5822.37,333,0.92304973,41.54175336,47.8449126,309,1368,554,189,1129,1102
"25030",4335.1104,860,1.61966736,42.37128886,48.09356725,27,101,43,18,94,77
"25031",1159.8944,1264,0.70982318,42.75645993,44.52542373,6,47,6,3,37,22
"25032",1053.8332,949,1.58407217,42.35067187,43.52439024,16,54,12,12,48,34
"25033",2391.0122,204,0.70439548,41.55176243,44.22986248,271,982,274,174,795,732
"25034",17670.5644,319,1.04788657,41.89634532,44.35233751,618,2226,664,409,1791,1717
"25035",2954.53,280,0.88027551,41.80424811,50.25617978,50,285,110,35,229,216
"25036",1007.2125,257,0.67233539,41.49561104,50.03738318,25,125,64,14,107,107
"25037",10292.16,570,0.76508415,41.90802167,50.79120879,61,261,133,45,262,193
"25038",6714.71,108,0.4579458,41.49464547,44.82810047,458,1550,540,324,1321,1227
"25039",12880.1782,597,1.06696344,42.32199421,48.74780059,51,222,68,34,183,158
"25040",5716.8517,261,0.80457795,41.79152287,41.8565087,3388,10647,2635,2382,8420,8250
"25041",778.49,282,1.01849203,41.678852,46.38585209,142,583,208,91,497,436
"25042",14423.9035,474,1.20665977,41.97842489,52.66808511,23,140,72,13,124,111
"25043",22049.5192,1096,0.80227472,42.50428276,45.30738916,145,706,164,106,537,478
"25044",7064.637,434,1.28759749,42.01144351,48.11790393,32,141,56,18,109,120
"25045",1764.4954,908,0.71764419,42.8346169,56.25373134,4,40,23,3,33,34
"25046",1577.15,374,1.01726697,41.5612864,50.33526012,69,300,150,39,261,258
"25047",3116.16,268,0.90607418,41.75937466,48.01940178,193,748,296,129,623,614
"25048",3516.06,196,0.78088459,41.62932424,44.56872038,418,1463,440,261,1157,1164
"25049",504.8,380,0.95239765,41.77447574,47.74468085,30,111,47,19,92,96
"25050",3502.18,309,1.01228445,41.62522812,42.5338014,942,3247,796,644,2591,2394
"25051",9779.4994,1057,1.77460021,42.37084442,45.57577293,331,1264,378,235,1014,959
"25052",4641.25,204,0.81748995,41.67326493,46.02899824,384,1387,505,266,1157,1119
"25053",759.0122,233,0.63287061,41.69564661,41.23092926,293,962,187,182,753,689
"25055",6605.42,449,1.35875237,41.84199211,53.9516129,16,111,59,11,99,87
"25056",3321.94,296,0.63889408,41.32601883,57.2593985,20,148,98,16,147,119
"25057",2167.0186,858,0.71934111,42.73749625,44.50793651,35,176,41,26,140,112
"25058",6166.06,303,0.86890823,41.52178555,44.19367194,1096,3778,1131,737,3068,2937
"25059",2810.921,711,0.69240158,42.78566447,43.58125,190,753,177,126,546,574
"25060",1416.35,424,1.21491663,41.85073591,53.71604938,7,46,28,4,35,46
"25061",7928.2559,759,1.24806362,42.23919476,48.5483871,12,59,22,9,51,42
"25062",15658.8869,287,0.87733178,41.87441493,50.68945539,102,538,223,76,439,424
"25063",4852.4875,919,0.73947065,42.8386609,54.05681818,6,59,23,4,51,37
"25064",6026.8014,652,1.4154827,42.02275401,45.69285714,32,75,33,20,72,68
"25067",6431.86,354,0.76629416,41.49963625,47.74019088,119,615,209,84,506,437
"25068",1631.07,269,0.97018409,41.64866572,47.90670554,109,405,172,72,362,324
"25069",5262.29,362,0.72670978,41.82132327,49.82103321,75,318,149,53,289,253
"25070",1585.5858,266,0.9870482,41.7467723,49.32242063,145,599,264,94,507,501
"25071",4163.5043,1293,1.60512257,42.32498387,58.71153846,3,31,18,3,32,20
"25072",5521.45,541,1.27119164,41.66575537,41.41794843,1925,5774,1338,1278,4559,4478
"25073",3403.79,442,0.85919872,41.42469365,51.34242424,78,390,192,43,348,312
"25074",1647.05,519,1.14008822,41.56127647,51.15346535,23,120,59,14,109,93
"25075",4071.2322,502,1.62419986,41.93310218,43.76551724,23,97,25,16,72,73
"25076",1747.25,280,0.68971345,41.46672627,56.5617284,12,94,56,4,87,75
"25077",15365.3137,569,1.31603374,42.17430748,48.12544803,70,363,125,50,286,272
"25078",2134.4192,209,0.69661257,41.691755,44.01771793,260,889,262,181,764,647
"25079",3905.67,504,0.95948553,41.85144362,50.24932976,44,226,103,31,198,175
"25081",2145,433,1.00375578,41.49488972,52.28374656,44,206,113,32,182,181
"25082",9737.2009,1319,1.08869741,42.5765545,46.13150685,50,257,58,28,194,171
"25085",2114.66,613,1.37833145,41.69219421,51.23417722,16,98,44,9,85,73
"25086",855.3475,956,1.12329592,42.62786267,44.08062419,120,533,116,73,369,400
"25087",1649.7125,1209,1.26147622,42.59289783,45.17910448,10,49,8,9,34,33
"25088",2140.7855,1079,1.52322739,42.37320251,50.78225806,21,64,39,16,72,52
"25089",6337.9955,1360,1.27197118,42.49716498,47.09090909,16,84,21,14,70,51
"25092",561.51,315,0.91926928,41.51159386,51.52903226,20,98,37,9,83,72
"25093",535.0796,243,0.87512433,41.63454577,44.15201005,127,543,126,88,394,402
"25094",2891.08,438,1.01398985,41.87687807,50.29411765,20,98,52,15,98,72
"25096",1113.07,272,1.01838395,41.71368711,45.44866613,237,732,268,159,624,613
"25097",1633.45,583,1.02457018,41.46352787,57.23255814,4,54,28,2,43,43
"25098",9086.3983,429,0.92104472,42.122332,54.77142857,28,155,97,17,132,148
"25099",1678.5887,275,0.93211883,41.63250497,41.62796976,390,1178,284,260,916,936
"25100",5632.32,1420,1.66119102,42.23676277,53.10810811,12,157,53,9,121,101
"25101",8296.55,525,0.66529307,41.35495591,49.22523745,102,437,198,68,388,349
"25102",3842.615,80,0.3525485,41.41889209,47.38825953,117,643,211,86,522,449
"25103",2398.14,498,1.22488302,41.64886467,52.73469388,16,92,39,7,81,66
"25104",1658.29,602,1.24643002,41.62390481,53.87412587,18,76,49,14,73,70
"25105",2030.14,366,0.64898228,41.43280137,54.59493671,17,91,50,13,95,63
"25109",2537.65,558,1.18710243,41.56494565,54.996337,25,145,103,18,148,125
"25110",1817.7196,485,1.28903996,41.78497273,36.52195609,1637,4805,572,1161,3721,3293
"25111",6570.09,938,1.64344187,42.13579272,49.13571429,19,92,29,11,86,54
"25112",2706.3351,332,0.58568954,41.85035366,49.0060241,40,214,78,28,175,157
"25113",2417.04,263,0.98636466,41.68278769,47.4119898,239,945,384,179,820,748
"25114",1532.33,569,1.39587326,41.77153608,54.74766355,8,63,36,2,57,50
"25115",14031.536,661,1.04480661,42.11734859,50.35540409,134,609,284,89,544,483
"25118",7670.75,576,0.77545978,41.37096542,51.06127451,39,254,115,26,217,191
"25119",4732.97,263,0.82573763,41.54943805,44.49453148,588,2111,684,411,1766,1617
"25120",21200.7297,167,0.62061934,41.61527355,42.53244446,25494,90601,21232,17413,67855,69472
"25121",2334.7488,633,0.71274283,42.81192576,40.95078534,180,660,115,118,471,484
"25122",2881.91,244,0.90434264,41.71125835,44.58225438,469,1654,503,288,1317,1309
"25123",14825.1515,1049,1.25007356,42.62009196,47.86666667,34,153,38,21,108,117
"25124",12930.4513,831,1.50845447,42.04483928,50.47540984,19,112,52,11,95,88
"25125",6604.5899,396,0.55006906,41.37520163,53.09148936,47,269,154,32,246,224
"25126",6902.7911,807,1.21132384,42.49568539,45.50696379,53,240,66,41,173,186
"25127",10297.851,1477,1.68799212,42.39184246,50.0513834,34,162,57,20,144,109
"25128",4090.517,770,0.91658474,42.07491588,54.65492958,10,88,44,7,83,59
"25129",3890.3012,855,1.47271831,41.95072248,48.16915423,29,128,44,22,110,91
"25130",3153.79,425,1.03913949,41.55059243,49.42731278,27,140,60,19,114,113
"25131",1383.011,94,0.35931697,41.45911704,47.14795918,58,411,119,35,335,253
"25132",2614.35,500,1.31096864,41.79768114,42.41121495,45,136,33,29,116,98
"25133",5771.81,381,0.50424579,41.36467845,50.00952381,122,563,260,74,521,424
"25134",2053.38,207,0.7436465,41.72977565,50.12087912,91,530,198,52,458,361
