"V1","Titulares","NUMERODECLARACIONES","NUMEROHABITANTES","POSICIONAMIENTORENTA BRUTA MEDIANIVELNACIONAL","POSICIONAMIENTORENTA BRUTA MEDIANIVELAUTONÓMICO","RENTA BRUTA MEDIA","RENTA DISPONIBLEMEDIA"
"Valle Gran Rey-38049","1.526","1.435","4.564","2.103","76","18.149","15.900"
"Tazacorte-38045","1.891","1.665","4.575","2.115","77","18.104","15.824"
"Buenavista del Norte-38010","1.953","1.686","4.778","2.143","79","17.998","15.833"
"Agulo-38002","416","367","1.096","2.189","80","17.830","15.568"
"Barlovento-38007","870","763","1.876","2.268","81","17.501","15.305"
"Hermigua-38021","809","716","1.832","2.356","82","17.062","15.092"
"Puntagorda-38029","771","681","2.110","2.462","84","16.533","14.603"
"Vallehermoso-38050","991","882","2.901","2.505","85","16.382","14.572"
"Tanque, El-38044","1.156","1.005","2.763","2.516","86","16.327","14.535"
"Garafía-38016","517","461","1.667","2.809","87","14.552","12.961"
"Cantabria","333.446","285.954","581.078",NA,NA,"26.327","21.864"
"Cantabria","333.446","285.954","581.078",NA,NA,"26.327","21.864"
"Ribamontán al Mar-39061","2.475","2.149","4.437","95","1","33.416","27.197"
"Santa Cruz de Bezana-39073","8.063","7.146","13.095","138","2","31.770","25.653"
"Castro-Urdiales-39020","17.854","15.232","32.069","186","3","30.607","24.757"
"Santander-39075","100.259","87.934","172.539","233","4","29.699","24.349"
"Villaescusa-39099","2.141","1.818","3.899","251","5","29.336","24.154"
"Liendo-39036","618","537","1.204","293","6","28.821","23.468"
"Piélagos-39052","15.073","13.133","25.559","353","7","28.259","23.088"
"Ribamontán al Monte-39062","1.258","1.077","2.276","414","8","27.650","22.335"
"Argoños-39005","1.005","871","1.748","584","9","26.155","21.726"
"Marina de Cudeyo-39040","3.146","2.721","5.125","650","10","25.615","21.393"
"Suances-39085","5.127","4.273","8.782","658","11","25.553","21.259"
"Polanco-39054","3.430","2.815","5.896","703","12","25.334","21.214"
"Camargo-39016","18.100","15.364","30.260","725","13","25.229","21.137"
"Guriezo-39030","1.299","1.096","2.354","740","14","25.096","20.898"
"Miengo-39044","3.069","2.638","4.741","782","15","24.857","20.788"
"Astillero, El-39008","10.487","8.968","18.111","806","16","24.712","20.740"
"Campoo de Enmedio-39027","2.420","2.011","3.714","828","17","24.613","20.656"
"Laredo-39035","6.043","5.326","11.025","830","18","24.602","20.699"
"Medio Cudeyo-39042","4.346","3.699","7.556","839","19","24.539","20.584"
"Reinosa-39059","6.229","5.198","9.003","848","20","24.465","20.614"
"Bárcena de Cicero-39009","2.521","2.189","4.246","863","21","24.324","20.266"
"Colindres-39023","4.586","3.960","8.484","864","22","24.316","20.373"
"Limpias-39038","1.028","904","1.879","885","23","24.141","20.268"
"Santillana del Mar-39076","2.609","2.179","4.207","890","24","24.108","20.220"
"Mazcuerras-39041","1.188","1.008","2.105","898","25","24.088","20.135"
"Penagos-39048","1.157","994","2.142","902","26","24.014","20.273"
"Corrales de Buelna, Los-39025","6.572","5.191","10.841","918","27","23.877","20.251"
"Torrelavega-39087","29.831","24.561","51.494","926","28","23.819","20.158"
"Reocín-39060","4.976","4.043","8.384","935","29","23.771","20.016"
"Entrambasaguas-39028","3.095","2.720","5.163","963","30","23.585","19.817"
"Puente Viesgo-39056","1.550","1.285","2.854","993","31","23.421","19.822"
"Santoña-39079","5.673","4.995","11.024","996","32","23.403","19.724"
"Liérganes-39037","1.307","1.106","2.379","1.005","33","23.352","19.678"
"Ampuero-39002","2.433","2.066","4.288","1.017","34","23.262","19.626"
"Cabezón de la Sal-39012","5.028","4.188","8.301","1.026","35","23.157","19.535"
"Hermandad de Campoo de Suso-39032","819","715","1.603","1.037","36","23.108","19.390"
"Santa María de Cayón-39074","5.216","4.484","9.159","1.076","37","22.908","19.470"
"Castañeda-39019","1.700","1.459","2.914","1.099","38","22.752","19.214"
"Santiurde de Toranzo-39078","890","742","1.629","1.104","39","22.712","19.361"
"Hazas de Cesto-39031","867","752","1.569","1.110","40","22.660","19.108"
"Meruelo-39043","1.051","905","2.028","1.135","41","22.484","18.982"
"Cartes-39018","3.326","2.806","5.747","1.150","42","22.441","19.049"
"Voto-39102","1.494","1.289","2.724","1.168","43","22.331","18.940"
"San Felices de Buelna-39069","1.312","1.034","2.361","1.183","44","22.251","19.146"
"Arnuero-39006","1.166","1.003","2.103","1.192","45","22.203","18.741"
"Noja-39047","1.297","1.131","2.556","1.264","46","21.896","18.325"
"Ramales de la Victoria-39057","1.544","1.339","2.876","1.327","47","21.550","18.206"
"Comillas-39024","1.145","994","2.141","1.352","48","21.455","18.291"
"Bareyo-39011","1.099","935","1.950","1.353","49","21.452","18.192"
"Alfoz de Lloredo-39001","1.296","1.058","2.416","1.379","50","21.320","18.313"
"Potes-39055","764","690","1.343","1.444","51","20.949","17.831"
"San Vicente de la Barquera-39080","2.337","2.019","4.124","1.448","52","20.935","17.767"
"Ruente-39066","494","412","1.016","1.461","53","20.848","17.759"
"Riotuerto-39064","872","736","1.601","1.474","54","20.801","17.872"
"Valdáliga-39091","1.086","918","2.182","1.611","55","20.148","17.198"
"Corvera de Toranzo-39026","1.108","935","2.039","1.616","56","20.136","17.356"
"Val de San Vicente-39095","1.494","1.300","2.728","1.666","57","19.903","17.111"
"Villafufre-39100","474","403","1.003","1.701","58","19.727","16.843"
"Cillorigo de Liébana-39022","683","612","1.305","1.734","59","19.569","16.894"
"Arenas de Iguña-39004","998","811","1.679","1.736","60","19.556","17.017"
"Molledo-39046","777","636","1.504","1.760","61","19.468","16.917"
"Selaya-39082","1.040","903","1.891","1.778","62","19.409","16.591"
"Solórzano-39084","504","441","1.047","1.863","63","19.044","16.578"
"Villacarriedo-39098","837","738","1.612","1.866","64","19.038","16.377"
"Rionansa-39063","469","396","1.047","2.037","65","18.419","16.199"
"Soba-39083","531","466","1.180","2.792","66","14.708","13.116"
"Agrupación municipios pequeños-39","8.760","7.497","18.817","-","-","18.929","16.456"
"Castilla-La Mancha","1.126.633","931.115","2.035.022",NA,NA,"22.681","19.134"
"Albacete","220.084","182.766","388.167",NA,NA,"22.295","18.793"
"Albacete-02003","101.070","86.680","173.329","574","20","26.225","21.631"
"Almansa-02009","12.912","10.812","24.419","1.275","65","21.861","18.418"
"Roda, La-02069","9.042","7.184","15.476","1.380","73","21.298","18.137"
"Chinchilla de Monte-Aragón-02029","2.255","1.891","4.206","1.473","79","20.806","17.785"
"Villarrobledo-02081","14.236","11.407","25.184","1.583","95","20.289","17.347"
"Gineta, La-02035","1.403","1.174","2.512","1.609","97","20.162","17.292"
"Madrigueras-02045","2.852","2.348","4.652","1.749","115","19.505","16.729"
"Casas-Ibáñez-02024","2.695","2.190","4.538","1.753","117","19.489","16.746"
"Caudete-02025","5.513","4.487","9.963","1.785","122","19.382","16.664"
"Hellín-02037","15.670","12.865","30.306","1.938","143","18.799","16.238"
"Valdeganga-02075","1.016","788","2.028","1.951","146","18.745","16.345"
"Higueruela-02039","668","535","1.158","1.959","149","18.718","16.301"
"Pozo Cañada-02901","1.403","1.081","2.797","1.966","152","18.693","16.230"
"Montealegre del Castillo-02051","1.232","999","2.051","1.990","156","18.600","16.171"
"Alcaraz-02008","727","594","1.351","2.003","158","18.557","16.061"
"Tarazona de la Mancha-02073","3.557","2.737","6.235","2.075","168","18.244","15.918"
"Elche de la Sierra-02030","1.986","1.591","3.585","2.098","171","18.156","15.718"
"Tobarra-02074","4.337","3.439","7.684","2.135","178","18.019","15.676"
"Fuente-Alamo-02033","1.500","1.197","2.489","2.184","188","17.847","15.521"
"Casas de Juan Núñez-02021","728","573","1.307","2.240","196","17.619","15.420"
"Peñas de San Pedro-02060","528","416","1.399","2.294","203","17.350","15.235"
"Balazote-02012","1.332","1.101","2.334","2.296","204","17.345","15.170"
"Pozohondo-02063","941","726","1.585","2.331","212","17.164","15.217"
"Alpera-02010","1.297","1.019","2.265","2.343","214","17.113","15.210"
"Bonete-02018","605","505","1.049","2.359","215","17.039","15.059"
"Barrax-02015","997","787","1.833","2.363","217","17.028","14.994"
"Fuentealbilla-02034","1.012","816","1.792","2.411","224","16.826","14.884"
"Bonillo, El-02019","1.687","1.362","2.779","2.420","226","16.769","14.730"
"Mahora-02046","809","664","1.383","2.421","227","16.765","14.885"
"Lezuza-02043","716","564","1.358","2.473","234","16.489","14.386"
"Ossa de Montiel-02057","1.433","1.144","2.307","2.489","237","16.453","14.410"
"Villamalea-02079","2.452","2.008","4.027","2.521","241","16.301","14.447"
"Ontur-02056","1.237","993","1.987","2.560","247","16.138","14.573"
"Villalgordo del Júcar-02078","625","499","1.094","2.579","252","16.031","14.346"
"San Pedro-02071","578","472","1.242","2.595","253","15.977","14.105"
"Liétor-02044","735","545","1.175","2.599","254","15.958","14.376"
"Riópar-02067","710","577","1.332","2.612","255","15.900","14.020"
"Minaya-02048","814","641","1.501","2.679","263","15.495","13.894"
"Munera-02053","2.187","1.696","3.435","2.699","265","15.382","13.773"
"Alcalá del Júcar-02007","658","534","1.170","2.723","267","15.286","13.672"
"Socovos-02072","950","740","1.787","2.750","269","15.046","13.614"
"Yeste-02086","1.502","1.214","2.657","2.788","272","14.728","13.271"
"Nerpio-02055","691","558","1.191","2.848","275","14.030","12.605"
"Cenizate-02026","734","578","1.181","2.853","276","13.906","12.626"
"Agrupación municipios pequeños-02","10.052","8.035","19.034","-","-","15.980","14.333"
