"V1","Titulares","NUMERODECLARACIONES","NUMEROHABITANTES","POSICIONAMIENTORENTA BRUTA MEDIANIVELNACIONAL","POSICIONAMIENTORENTA BRUTA MEDIANIVELAUTONÓMICO","RENTA BRUTA MEDIA","RENTA DISPONIBLEMEDIA"
"Total","23.696.572","20.608.731","44.157.547",NA,NA,"27.632","22.634"
"Andalucía","4.200.815","3.516.213","8.412.154",NA,NA,"23.018","19.306"
"Almería","356.519","311.194","716.820",NA,NA,"20.604","17.433"
"Almería-04013","101.884","89.186","198.533","789","43","24.822","20.512"
"Macael-04062","2.901","2.249","5.482","973","55","23.504","19.645"
"Carboneras-04032","4.239","3.461","8.004","1.019","56","23.242","19.398"
"Huércal de Almería-04052","9.464","8.172","17.651","1.175","73","22.310","18.802"
"Roquetas de Mar-04079","48.299","43.237","96.800","1.319","92","21.581","18.063"
"Mojácar-04064","2.878","2.580","6.403","1.389","100","21.256","17.875"
"Vera-04100","7.756","6.697","16.452","1.399","102","21.218","17.831"
"Olula del Río-04069","3.215","2.584","6.210","1.552","117","20.432","17.358"
"Tíjola-04092","1.689","1.428","3.541","1.575","121","20.342","17.202"
"Huércal-Overa-04053","9.881","8.665","19.127","1.631","135","20.081","17.083"
"Benahadux-04024","2.231","1.862","4.382","1.665","139","19.904","17.138"
"Fines-04044","1.030","833","2.079","1.759","153","19.468","16.625"
"Purchena-04076","736","607","1.618","1.814","163","19.219","16.447"
"Serón-04083","944","803","2.041","1.818","165","19.217","16.467"
"Pechina-04074","1.818","1.541","4.037","1.832","168","19.175","16.536"
"Albox-04006","5.301","4.554","11.805","1.911","181","18.919","16.263"
"Garrucha-04049","4.539","3.875","9.212","1.952","187","18.745","16.075"
"Viator-04101","2.689","2.286","5.885","1.984","196","18.611","16.262"
"Pulpí-04075","5.282","4.740","10.055","1.998","199","18.564","15.957"
"Antas-04016","1.760","1.483","3.182","2.024","206","18.474","15.863"
"Dalías-04038","1.953","1.665","4.006","2.040","208","18.407","15.808"
"Gádor-04047","1.257","1.059","3.012","2.071","218","18.257","15.849"
"Ejido, El-04902","42.906","38.087","83.594","2.078","220","18.237","15.618"
"Alhama de Almería-04011","1.805","1.459","3.641","2.157","244","17.957","15.738"
"Balanegra-04904","1.476","1.288","3.009","2.171","249","17.887","15.550"
"Cuevas del Almanzora-04035","7.066","6.071","14.081","2.178","251","17.860","15.489"
"Vélez-Rubio-04099","3.746","3.202","6.555","2.196","259","17.799","15.520"
"Cantoria-04031","1.511","1.274","3.204","2.205","261","17.769","15.457"
"Adra-04003","11.750","9.985","25.148","2.221","267","17.699","15.339"
"Gallardos, Los-04048","1.372","1.177","2.794","2.287","287","17.409","15.154"
"Berja-04029","6.098","5.120","12.415","2.305","292","17.292","15.019"
"Turre-04093","1.554","1.351","3.549","2.348","313","17.098","14.969"
"Chirivel-04037","814","719","1.472","2.372","319","17.001","14.954"
"Vícar-04102","12.028","10.671","26.028","2.397","328","16.881","14.770"
"Zurgena-04103","1.342","1.138","3.005","2.445","340","16.662","14.827"
"Rioja-04078","614","531","1.417","2.528","380","16.270","14.270"
"Sorbas-04086","1.127","937","2.388","2.539","381","16.220","14.355"
"Níjar-04066","15.540","13.958","30.663","2.590","396","15.996","14.023"
"Arboleas-04017","1.728","1.495","4.596","2.638","420","15.752","14.132"
"Mojonera, La-04903","4.612","4.129","9.021","2.640","421","15.746","13.845"
"Oria-04070","1.031","881","2.249","2.656","426","15.667","13.916"
"Tabernas-04088","1.623","1.449","3.688","2.683","441","15.481","13.684"
"Abla-04001","564","504","1.249","2.686","444","15.470","13.674"
"Partaloa-04072","285","243","1.110","2.708","454","15.349","13.526"
"Gérgal-04050","409","353","1.030","2.711","455","15.340","13.606"
"Vélez-Blanco-04098","992","864","1.904","2.714","456","15.329","13.699"
"Láujar de Andarax-04057","821","642","1.536","2.734","472","15.177","13.300"
"Lubrín-04059","720","638","1.477","2.742","475","15.097","13.722"
"María-04063","765","661","1.238","2.747","478","15.065","13.574"
"Canjáyar-04030","510","437","1.214","2.775","494","14.852","13.382"
"Fiñana-04045","1.120","926","1.994","2.779","497","14.820","13.336"
"Abrucena-04002","619","522","1.202","2.835","532","14.183","12.858"
"Agrupación municipios pequeños-04","8.225","6.915","20.832","-","-","15.753","13.995"
"Cádiz","594.924","478.203","1.240.155",NA,NA,"24.028","20.178"
"San Roque-11033","14.013","11.314","31.218","263","14","29.160","24.081"
"Algeciras-11004","56.121","45.093","121.957","274","15","29.042","23.630"
"Cádiz-11012","61.077","51.241","116.027","358","18","28.201","23.306"
"Puerto de Santa María, El-11027","42.106","34.003","88.405","425","19","27.532","22.727"
"Barrios, Los-11008","11.394","9.101","23.642","435","20","27.442","22.477"
"San Fernando-11031","48.556","37.698","94.979","664","31","25.522","21.453"
"Puerto Real-11028","21.602","16.919","41.627","749","38","25.032","20.954"
"Línea de la Concepción, La-11022","25.242","20.585","63.147","776","40","24.908","21.200"
"Rota-11030","15.216","12.075","29.109","825","45","24.625","20.882"
"Jerez de la Frontera-11020","99.967","80.287","212.749","899","51","24.063","20.193"
"Chiclana de la Frontera-11015","40.220","31.579","84.489","1.079","65","22.897","19.349"
"Tarifa-11035","8.701","7.327","18.162","1.196","74","22.191","18.826"
"Castellar de la Frontera-11013","1.440","1.158","3.049","1.260","82","21.917","18.543"
"Conil de la Frontera-11014","11.214","8.967","22.529","1.414","103","21.133","17.883"
"Bosque, El-11011","1.029","847","2.145","1.562","119","20.393","17.336"
"Sanlúcar de Barrameda-11032","31.232","24.609","68.684","1.831","167","19.182","16.537"
"Ubrique-11038","8.911","7.379","16.597","1.871","176","19.020","16.347"
"Jimena de la Frontera-11021","3.226","2.580","6.951","1.907","179","18.927","16.406"
"Villamartín-11041","5.722","4.767","12.150","2.042","209","18.401","15.924"
"Medina Sidonia-11023","5.865","4.574","11.708","2.049","210","18.373","15.984"
"Barbate-11007","9.855","7.856","22.518","2.054","213","18.363","15.997"
"Trebujena-11037","3.455","3.031","7.028","2.079","221","18.236","15.927"
"Alcalá de los Gazules-11001","2.663","2.108","5.219","2.093","228","18.178","15.682"
"Chipiona-11016","7.710","6.140","19.123","2.130","236","18.033","15.671"
"Arcos de la Frontera-11006","14.813","11.823","30.700","2.146","241","17.992","15.700"
"Vejer de la Frontera-11039","6.191","4.908","12.624","2.215","263","17.727","15.502"
"San Martín del Tesorillo-11903","1.089","865","2.753","2.216","264","17.722","15.562"
"Espera-11017","1.806","1.439","3.860","2.244","274","17.593","15.453"
"Olvera-11024","4.722","3.867","8.113","2.245","275","17.592","15.487"
"Setenil de las Bodegas-11034","1.418","1.147","2.769","2.313","295","17.247","15.280"
"Algar-11003","676","546","1.413","2.321","300","17.210","15.089"
"Paterna de Rivera-11025","2.675","2.023","5.470","2.337","305","17.139","15.085"
"Benalup-Casas Viejas-11901","3.688","3.004","6.929","2.350","314","17.094","14.995"
"Zahara-11042","719","615","1.387","2.479","356","16.477","14.733"
"San José del Valle-11902","2.005","1.602","4.418","2.514","373","16.344","14.465"
"Algodonales-11005","2.829","2.278","5.550","2.540","382","16.212","14.465"
"Prado del Rey-11026","2.700","2.164","5.605","2.580","392","16.030","14.123"
"Grazalema-11019","1.106","920","2.027","2.593","398","15.983","14.171"
"Bornos-11010","3.780","3.078","7.670","2.611","408","15.904","14.138"
"Gastor, El-11018","1.049","862","1.752","2.728","466","15.212","13.610"
"Alcalá del Valle-11002","2.723","2.152","5.046","2.729","467","15.193","13.695"
"Puerto Serrano-11029","3.502","2.911","6.941","2.877","556","13.430","12.249"
"Agrupación municipios pequeños-11","896","761","1.916","-","-","16.637","14.508"
"Córdoba","416.065","345.980","782.979",NA,NA,"21.468","18.104"
"Córdoba-14021","172.207","145.722","325.701","568","26","26.288","21.593"
"Peñarroya-Pueblonuevo-14052","5.659","4.308","10.695","1.067","63","22.957","19.178"
"Belmez-14009","1.576","1.173","2.923","1.205","76","22.166","18.766"
"Pozoblanco-14054","10.157","8.570","17.210","1.307","86","21.642","18.194"
"Añora-14006","884","747","1.527","1.577","122","20.333","17.212"
"Espiel-14026","1.253","995","2.397","1.584","123","20.289","17.428"
"Puente Genil-14056","14.546","11.640","30.048","1.664","138","19.914","17.013"
"Montilla-14042","13.197","10.638","22.859","1.714","147","19.680","16.810"
"Cabra-14013","10.819","9.101","20.341","1.757","152","19.476","16.665"
"Villafranca de Córdoba-14067","2.520","2.098","4.871","1.771","156","19.435","16.641"
"Lucena-14038","21.444","17.218","42.605","1.807","162","19.278","16.557"
"Guadalcázar-14033","797","679","1.583","1.837","171","19.154","16.554"
"Fernán-Núñez-14027","5.497","4.610","9.663","1.839","172","19.150","16.377"
"Obejo-14047","682","571","2.011","1.971","191","18.674","16.164"
"Palma del Río-14049","10.170","8.638","21.064","1.980","194","18.626","16.035"
"Carpio, El-14018","2.415","1.987","4.383","2.031","207","18.444","15.967"
"Alcaracejos-14003","744","639","1.486","2.050","211","18.373","15.881"
"Victoria, La-14065","1.139","955","2.271","2.085","223","18.200","15.969"
"Posadas-14053","3.652","3.072","7.325","2.123","234","18.079","15.614"
"Fuente Obejuna-14029","2.390","1.854","4.604","2.152","243","17.970","15.672"
"Carlota, La-14017","7.325","6.122","14.061","2.161","246","17.928","15.570"
"Baena-14007","9.536","7.798","19.284","2.194","257","17.808","15.370"
"Villa del Río-14066","3.532","2.863","7.104","2.195","258","17.803","15.479"
"Rambla, La-14057","3.877","3.194","7.493","2.261","278","17.545","15.201"
"Rute-14058","5.333","4.394","9.845","2.282","284","17.438","15.153"
"Hinojosa del Duque-14035","4.003","3.104","6.788","2.286","286","17.415","15.150"
"Montemayor-14041","2.088","1.732","3.855","2.298","289","17.332","15.099"
"Villanueva del Rey-14071","571","449","1.046","2.314","296","17.232","15.194"
"Montoro-14043","5.272","4.281","9.364","2.319","298","17.213","15.043"
"Dos Torres-14023","1.417","1.141","2.411","2.320","299","17.211","15.092"
"Castro del Río-14019","4.392","3.562","7.809","2.326","302","17.191","15.017"
"Pedro Abad-14050","1.453","1.215","2.837","2.339","307","17.123","14.972"
"Torrecampo-14062","592","493","1.059","2.342","310","17.115","15.085"
"Montalbán de Córdoba-14040","2.574","2.159","4.489","2.358","317","17.040","14.902"
"Almodóvar del Río-14005","3.290","2.745","7.937","2.395","326","16.891","14.857"
"Priego de Córdoba-14055","12.780","10.329","22.408","2.413","331","16.824","14.739"
"Villanueva de Córdoba-14069","4.918","4.075","8.729","2.427","335","16.734","14.566"
"Aguilar de la Frontera-14002","7.240","5.886","13.328","2.433","338","16.705","14.559"
"Doña Mencía-14022","2.650","2.181","4.638","2.470","353","16.492","14.670"
"Villanueva del Duque-14070","852","688","1.461","2.486","360","16.462","14.612"
"Hornachuelos-14036","2.163","1.857","4.497","2.487","361","16.459","14.440"
"Palenciana-14048","736","614","1.478","2.499","366","16.394","14.443"
"Cañete de las Torres-14014","1.681","1.448","2.933","2.517","375","16.319","14.379"
"Bujalance-14012","4.059","3.444","7.417","2.523","377","16.289","14.287"
"Carcabuey-14015","1.549","1.293","2.412","2.569","388","16.084","14.241"
"Belalcázar-14008","1.649","1.298","3.255","2.573","389","16.057","14.140"
"Viso, El-14074","1.424","1.199","2.536","2.586","394","16.007","14.229"
"Santaella-14060","2.456","2.039","4.629","2.615","409","15.867","14.122"
"Fuente Palmera-14030","4.864","4.178","9.783","2.625","415","15.813","14.014"
"Luque-14039","1.811","1.529","2.994","2.654","425","15.685","14.014"
"Espejo-14025","2.043","1.740","3.329","2.662","430","15.595","13.862"
"Encinas Reales-14024","1.204","989","2.254","2.665","432","15.579","13.908"
"Pedroche-14051","863","744","1.516","2.670","435","15.553","13.721"
"Benamejí-14010","2.645","2.138","4.966","2.673","436","15.544","13.857"
"Monturque-14044","1.078","921","1.958","2.684","442","15.480","13.721"
"Villaviciosa de Córdoba-14073","1.801","1.382","3.229","2.694","448","15.430","13.793"
"Moriles-14045","1.948","1.561","3.717","2.715","457","15.322","13.597"
"Cardeña-14016","774","637","1.490","2.740","474","15.111","13.515"
"Villaralto-14072","700","612","1.131","2.762","486","14.955","13.525"
"Valenzuela-14063","760","652","1.131","2.772","491","14.871","13.387"
"Adamuz-14001","2.435","2.087","4.192","2.804","511","14.623","13.060"
"Almedinilla-14004","1.384","1.126","2.391","2.819","523","14.436","12.984"
"Guijarrosa,La-14902","799","650","1.399","2.829","528","14.246","12.953"
"Iznájar-14037","2.289","1.890","4.261","2.858","546","13.814","12.497"
"Nueva Carteya-14046","3.230","2.707","5.379","2.861","548","13.748","12.396"
"Fuentecarreteros-14901","831","714","1.131","2.882","559","13.237","12.065"
"Agrupación municipios pequeños-14","3.446","2.905","6.058","-","-","15.839","14.105"
"Granada","467.197","392.640","912.592",NA,NA,"22.804","19.198"
"Granada-18087","127.511","111.535","232.462","255","12","29.300","23.909"
"Cájar-18036","2.777","2.388","5.129","301","16","28.705","23.400"
"Villa de Otura-18149","3.786","3.149","6.952","481","22","27.001","22.193"
"Ogíjares-18145","7.889","6.682","14.160","588","28","26.114","21.536"
"Huétor Vega-18101","6.541","5.506","12.039","596","29","26.043","21.435"
"Gójar-18084","3.105","2.596","5.795","636","30","25.742","21.269"
"Albolote-18003","9.888","8.206","18.808","721","35","25.237","20.916"
"Jun-18111","2.028","1.683","3.833","746","37","25.058","20.881"
"Dílar-18068","974","812","2.054","779","41","24.877","20.787"
"Monachil-18134","4.119","3.520","7.939","826","46","24.622","20.520"
"Huétor de Santillán-18099","1.047","842","1.877","857","47","24.374","20.253"
"Armilla-18021","11.782","9.973","24.174","878","48","24.210","20.153"
"Zubia, La-18193","9.919","8.340","19.155","888","50","24.114","20.119"
"Peligros-18153","5.880","4.894","11.394","1.036","58","23.109","19.412"
"Cúllar Vega-18057","3.800","3.125","7.429","1.088","67","22.816","19.227"
"Alhendín-18014","4.818","4.060","9.349","1.127","69","22.551","19.032"
"Cenes de la Vega-18047","3.993","3.364","8.002","1.167","71","22.344","18.814"
"Vegas del Genil-18911","5.924","4.888","11.166","1.171","72","22.324","18.987"
"Churriana de la Vega-18062","7.847","6.632","15.200","1.218","77","22.109","18.700"
"Alfacar-18011","2.945","2.372","5.400","1.317","90","21.592","18.458"
"Pinos Genil-18157","758","626","1.457","1.333","94","21.521","18.290"
"Gabias, Las-18905","11.052","9.204","21.115","1.342","95","21.501","18.269"
"Maracena-18127","11.022","9.111","22.116","1.345","96","21.486","18.317"
"Motril-18140","28.520","23.939","58.020","1.396","101","21.231","18.068"
"Santa Fe-18175","6.875","5.677","15.157","1.438","107","20.982","17.891"
"Guadix-18089","9.290","7.623","18.422","1.468","110","20.819","17.751"
"Atarfe-18022","9.124","7.476","18.706","1.485","111","20.746","17.790"
"Almuñécar-18017","12.696","10.486","26.514","1.596","124","20.225","17.345"
"Pulianas-18165","2.648","2.133","5.429","1.602","125","20.186","17.360"
"Salobreña-18173","5.842","4.728","12.381","1.606","126","20.177","17.348"
"Baza-18023","10.768","8.986","20.412","1.619","130","20.131","17.203"
"Padul-18150","4.641","3.817","8.420","1.748","150","19.516","16.977"
"Dúrcal-18071","3.646","3.012","7.015","1.845","173","19.119","16.726"
"Láchar-18115","1.527","1.199","3.471","1.917","183","18.895","16.434"
"Gualchos-18093","2.039","1.694","5.193","1.967","189","18.686","16.213"
"Güevéjar-18095","1.313","1.059","2.595","1.970","190","18.677","16.368"
"Orgiva-18147","2.447","2.029","5.725","1.985","197","18.611","16.073"
"Vélez de Benaudalla-18184","1.253","1.008","2.841","1.995","198","18.577","16.097"
"Cijuela-18048","1.578","1.288","3.322","2.000","200","18.559","16.132"
"Lanjarón-18116","1.693","1.381","3.507","2.060","214","18.327","15.942"
"Güejar Sierra-18094","1.140","924","2.820","2.082","222","18.212","15.797"
"Lecrín-18119","1.037","870","2.134","2.091","227","18.192","16.039"
"Loja-18122","10.820","8.806","20.342","2.133","238","18.022","15.644"
"Cogollos de la Vega-18050","918","749","2.031","2.182","253","17.850","15.720"
"Huéscar-18098","3.848","3.220","7.253","2.188","255","17.838","15.428"
"Chauchina-18059","2.599","2.121","5.565","2.190","256","17.825","15.631"
"Nigüelas-18143","575","485","1.173","2.198","260","17.796","15.620"
"Torrenueva Costa-18916","1.147","971","2.682","2.217","265","17.721","15.509"
"Polopos-18162","643","528","1.756","2.248","276","17.578","15.366"
"Pinos Puente-18158","4.957","4.027","9.930","2.274","282","17.468","15.424"
"Benalúa-18027","1.464","1.190","3.318","2.303","291","17.303","15.078"
"Albuñol-18006","2.862","2.284","7.233","2.376","320","16.990","15.017"
"Iznalloz-18105","2.594","2.062","5.134","2.380","321","16.979","15.170"
"Purullena-18167","1.017","835","2.293","2.432","337","16.707","14.716"
"Moraleda de Zafayona-18138","1.495","1.196","3.153","2.450","343","16.640","14.754"
"Campotéjar-18038","623","486","1.237","2.483","358","16.475","14.893"
"Valle del Zalabí-18907","1.111","919","2.128","2.485","359","16.470","14.604"
"Huétor Tájar-18100","4.919","4.056","10.352","2.488","362","16.454","14.517"
"Fuente Vaqueros-18079","1.843","1.478","4.406","2.491","363","16.450","14.525"
"Píñar-18159","568","470","1.138","2.541","383","16.212","14.560"
"Huéneja-18097","562","489","1.184","2.578","391","16.033","14.145"
"Darro-18063","569","456","1.599","2.582","393","16.025","14.418"
"Ugíjar-18182","1.091","883","2.523","2.608","405","15.910","14.081"
"Malahá, La-18126","1.000","817","1.781","2.610","407","15.909","14.251"
"Caniles-18039","2.251","1.805","4.047","2.618","411","15.851","14.233"
"Alhama de Granada-18013","3.041","2.556","5.979","2.622","413","15.830","13.937"
"Peza, La-18154","517","418","1.178","2.623","414","15.821","14.174"
"Puebla de Don Fadrique-18164","1.170","936","2.250","2.626","416","15.808","14.174"
"Illora-18102","5.083","4.075","10.054","2.627","417","15.805","14.146"
"Deifontes-18066","1.232","989","2.627","2.641","422","15.742","14.162"
"Cádiar-18035","698","568","1.453","2.664","431","15.584","13.909"
"Galera-18082","569","454","1.075","2.719","460","15.309","13.798"
"Orce-18146","573","474","1.190","2.726","464","15.243","13.683"
"Benamaurel-18029","1.153","951","2.293","2.731","469","15.185","13.629"
"Cúllar-18056","2.256","1.841","4.129","2.733","471","15.181","13.607"
"Pedro Martínez-18152","412","337","1.107","2.748","479","15.064","13.805"
"Otívar-18148","511","422","1.034","2.751","480","15.019","13.515"
"Zújar-18194","1.473","1.192","2.548","2.756","483","14.980","13.502"
"Molvízar-18133","1.264","1.024","2.794","2.763","487","14.951","13.416"
"Castilléjar-18045","559","476","1.318","2.774","493","14.859","13.249"
"Villanueva Mesía-18188","1.078","895","2.021","2.796","506","14.673","13.213"
"Moclín-18132","2.137","1.774","3.651","2.797","507","14.670","13.289"
"Salar-18171","1.389","1.116","2.631","2.798","508","14.667","13.202"
"Guajares, Los-18906","492","418","1.057","2.814","519","14.499","13.383"
"Nevada-18903","463","384","1.050","2.821","524","14.357","12.966"
"Chimeneas-18061","643","537","1.257","2.822","525","14.355","13.050"
"Montefrío-18135","2.971","2.424","5.433","2.831","529","14.236","12.962"
"Guadahortuna-18088","712","575","1.935","2.833","530","14.205","13.006"
"Zafarraya-18192","1.371","1.119","2.137","2.844","538","14.078","12.714"
"Cortes de Baza-18053","1.008","844","1.869","2.845","539","14.048","12.919"
"Colomera-18051","621","497","1.309","2.846","540","14.032","12.923"
"Castril-18046","1.169","985","2.070","2.850","542","13.950","12.664"
"Benalúa de las Villas-18028","613","496","1.066","2.866","552","13.639","12.611"
"Montillana-18137","629","510","1.189","2.867","553","13.635","12.547"
"Cuevas del Campo-18912","1.049","883","1.735","2.872","554","13.568","12.489"
"Jayena-18107","642","521","1.060","2.874","555","13.518","12.356"
"Montejícar-18136","1.096","851","2.113","2.880","558","13.267","12.177"
"Algarinejo-18012","1.425","1.157","2.520","2.889","564","13.026","12.052"
"Agrupación municipios pequeños-18","20.220","16.771","44.113","-","-","16.008","14.276"
"Huelva","269.615","229.237","521.870",NA,NA,"20.526","17.345"
"Aljaraque-21002","11.369","9.613","21.260","254","11","29.302","23.648"
"Huelva-21041","75.255","63.022","143.663","679","33","25.454","21.027"
"Zarza-Perrunal, La-21902","S.E.","S.E.","S.E.","S.E.","S.E.","S.E.","S.E."
"Punta Umbría-21060","7.158","5.951","15.242","1.221","78","22.100","18.518"
"Minas de Riotinto-21049","1.981","1.623","3.848","1.232","80","22.063","18.696"
"Valverde del Camino-21072","6.469","5.327","12.820","1.313","88","21.612","18.158"
"Calañas-21017","1.883","1.460","2.791","1.419","104","21.096","17.869"
"Palma del Condado, La-21054","5.278","4.363","10.761","1.607","127","20.169","17.168"
"Nerva-21052","2.647","2.101","5.235","1.612","128","20.146","17.438"
"Zalamea la Real-21078","1.622","1.306","3.068","1.617","129","20.133","17.238"
"Almonaster la Real-21004","744","622","1.819","1.626","132","20.095","16.860"
"Aracena-21007","4.285","3.576","8.107","1.657","137","19.944","16.922"
"San Juan del Puerto-21064","4.640","3.834","9.300","1.698","144","19.742","16.982"
"Campillo, El-21018","1.109","900","2.023","1.725","148","19.606","17.083"
"Ayamonte-21010","9.385","8.164","20.946","1.772","157","19.429","16.605"
"Cartaya-21021","9.947","8.706","19.974","1.776","159","19.414","16.459"
"Trigueros-21070","4.159","3.460","7.713","1.791","160","19.362","16.555"
"Cortegana-21025","2.287","1.838","4.666","1.834","170","19.173","16.400"
"Beas-21011","2.162","1.850","4.257","1.874","177","19.014","16.326"
"Gibraleón-21035","5.997","4.964","12.607","1.973","192","18.667","16.103"
"Jabugo-21043","1.155","966","2.250","1.983","195","18.611","16.123"
"Lucena del Puerto-21046","2.044","1.881","3.371","2.051","212","18.372","15.129"
"Moguer-21050","12.045","10.761","22.088","2.090","226","18.193","15.465"
"Cumbres Mayores-21029","935","760","1.755","2.140","239","18.006","15.691"
"Cerro de Andévalo, El-21023","1.096","856","2.364","2.142","240","17.999","15.523"
"Hinojos-21040","1.895","1.636","3.976","2.147","242","17.989","15.510"
"Niebla-21053","2.145","1.729","4.117","2.169","248","17.893","15.607"
"Bonares-21014","3.133","2.667","6.058","2.186","254","17.844","15.184"
"Higuera de la Sierra-21038","583","477","1.287","2.225","268","17.681","15.381"
"Santa Olalla del Cala-21069","1.061","850","2.001","2.233","271","17.640","15.369"
"Villanueva de los Castillejos-21076","1.469","1.284","2.820","2.234","272","17.638","15.209"
"Palos de la Frontera-21055","8.709","8.010","11.289","2.237","273","17.628","14.918"
"Bollullos Par del Condado-21013","7.640","6.556","14.272","2.281","283","17.440","14.998"
"Lepe-21044","13.871","12.086","27.431","2.306","293","17.291","14.895"
"Cala-21016","595","452","1.167","2.308","294","17.262","14.791"
"Alosno-21006","1.724","1.390","3.923","2.338","306","17.138","14.916"
"Isla Cristina-21042","9.423","7.971","21.264","2.354","316","17.065","14.905"
"Puebla de Guzmán-21058","1.566","1.337","3.073","2.417","333","16.784","14.677"
"Villarrasa-21077","1.183","969","2.176","2.460","348","16.554","14.551"
"Chucena-21030","1.153","979","2.222","2.467","351","16.513","14.680"
"San Bartolomé de la Torre-21063","2.074","1.886","3.736","2.494","365","16.420","14.254"
"Escacena del Campo-21032","1.134","953","2.284","2.524","378","16.288","14.427"
"Rosal de la Frontera-21062","751","624","1.697","2.658","428","15.662","13.874"
"Santa Bárbara de Casa-21068","495","425","1.035","2.668","434","15.559","13.620"
"Paterna del Campo-21056","1.889","1.637","3.509","2.676","438","15.528","13.765"
"Encinasola-21031","S.E.","S.E.","S.E.","S.E.","S.E.","S.E.","S.E."
"Galaroza-21034","666","560","1.379","2.689","446","15.461","13.595"
"Villalba del Alcor-21074","1.526","1.233","3.338","2.707","453","15.355","13.622"
"Villablanca-21073","1.325","1.179","2.848","2.765","488","14.932","13.275"
"Almonte-21005","14.198","12.769","24.191","2.773","492","14.862","13.011"
"Manzanilla-21047","1.171","959","2.135","2.805","512","14.611","13.227"
"Paymogo-21057","526","460","1.159","2.847","541","14.031","12.499"
"Aroche-21008","1.542","1.330","3.073","2.852","543","13.931","12.531"
"Rociana del Condado-21061","4.256","3.753","7.855","2.878","557","13.424","11.992"
"Agrupación municipios pequeños-21","5.622","4.645","12.055","-","-","16.287","14.326"
"Jaén","362.593","296.626","633.564",NA,NA,"19.795","17.005"
"Guardia de Jaén, La-23038","2.667","2.250","5.011","453","21","27.282","22.260"
"Jaén-23050","64.822","55.530","112.999","566","25","26.295","21.715"
"Linares-23055","29.202","23.451","57.414","1.042","59","23.081","19.600"
"Ubeda-23092","19.452","15.859","34.345","1.068","64","22.953","19.289"
"Martos-23060","14.634","12.288","24.215","1.356","97","21.434","18.178"
"Carolina, La-23024","7.650","6.093","15.261","1.460","109","20.852","17.929"
"Baeza-23009","9.613","7.714","15.841","1.526","115","20.544","17.445"
"Andújar-23005","19.526","15.678","36.793","1.669","140","19.881","17.126"
"Mengíbar-23061","4.942","3.773","9.941","1.683","143","19.812","17.057"
"Mancha Real-23058","6.444","5.181","11.264","1.728","149","19.595","16.841"
"Torredonjimeno-23087","8.219","6.711","13.696","1.816","164","19.217","16.617"
"Cazorla-23028","4.209","3.452","7.441","1.940","185","18.772","16.233"
"Torre del Campo-23086","8.421","6.789","14.247","2.006","201","18.547","16.027"
"Alcalá la Real-23002","12.979","10.633","21.605","2.014","203","18.525","16.081"
"Canena-23020","1.258","1.055","1.831","2.061","215","18.321","15.930"
"Orcera-23065","967","800","1.811","2.105","230","18.148","15.861"
"Bailén-23010","9.499","7.111","17.667","2.218","266","17.716","15.548"
"Villares, Los-23099","3.694","3.052","6.014","2.270","280","17.488","15.197"
"Vilches-23094","2.645","2.059","4.436","2.272","281","17.476","15.331"
"Fuerte del Rey-23035","740","616","1.357","2.324","301","17.201","15.090"
"Cárcheles-23901","775","620","1.363","2.401","329","16.872","14.937"
"Villanueva de la Reina-23096","1.806","1.489","3.081","2.405","330","16.859","14.865"
"Peal de Becerro-23066","3.127","2.578","5.266","2.426","334","16.740","14.749"
"Siles-23082","1.215","998","2.241","2.447","341","16.653","14.660"
"Villacarrillo-23095","6.543","5.412","10.726","2.452","344","16.622","14.649"
"Arjona-23006","3.250","2.659","5.542","2.454","346","16.600","14.727"
"Guarromán-23039","1.270","982","2.724","2.463","349","16.529","14.687"
"Alcaudete-23003","6.369","5.250","10.498","2.466","350","16.515","14.592"
"Villatorres-23903","2.483","2.011","4.316","2.475","355","16.487","14.673"
"Pegalajar-23067","1.693","1.331","2.919","2.493","364","16.421","14.633"
"Rus-23074","2.053","1.584","3.547","2.501","367","16.389","14.620"
"Marmolejo-23059","4.128","3.393","6.812","2.506","369","16.370","14.507"
"Baños de la Encina-23011","1.369","1.036","2.582","2.515","374","16.340","14.646"
"Torreperogil-23088","4.444","3.437","7.276","2.544","384","16.205","14.439"
"Villanueva del Arzobispo-23097","4.741","3.794","8.193","2.577","390","16.034","14.141"
"Jamilena-23051","1.975","1.594","3.293","2.589","395","15.998","14.208"
"Puerta de Segura, La-23072","1.296","1.090","2.268","2.598","402","15.960","14.118"
"Puente de Génave-23071","1.262","1.016","2.159","2.601","403","15.949","14.079"
"Segura de la Sierra-23081","1.077","964","1.790","2.609","406","15.909","14.023"
"Arjonilla-23007","2.243","1.827","3.575","2.629","418","15.800","14.089"
"Campillo de Arenas-23019","1.132","929","1.760","2.633","419","15.782","14.327"
"Huelma-23044","3.520","2.737","5.776","2.685","443","15.480","13.867"
"Sabiote-23075","2.429","1.839","3.918","2.692","447","15.432","13.846"
"Ibros-23046","1.666","1.301","2.832","2.695","449","15.428","13.810"
"Quesada-23073","3.267","2.720","5.209","2.703","451","15.360","13.724"
"Lopera-23056","2.201","1.821","3.665","2.706","452","15.356","13.879"
"Santiago-Pontones-23904","1.346","1.138","2.956","2.716","458","15.322","13.584"
"Beas de Segura-23012","3.034","2.420","5.130","2.730","468","15.187","13.543"
